1,2005,82500849
1,2006,82437995
1,2007,82314906
1,2008,82217837
1,2009,82002356
1,2010,81802257
1,2011,80222065
1,2012,80327900
1,2013,80523746
1,2014,80767463
1,2015,81197537
1,2016,82175684
2,2005,8201359
2,2006,8254298
2,2007,8282984
2,2008,8307989
2,2009,8335003
2,2010,8351643
2,2011,8375164
2,2012,8408121
2,2013,8451860
2,2014,8506889
2,2015,8576261
2,2016,8690076
3,2005,10445852
3,2006,10511382
3,2007,10584534
3,2008,10666866
3,2009,10753080
3,2010,10839905
3,2011,11000638
3,2012,11094850
3,2013,11161642
3,2014,11180840
3,2015,11237274
3,2016,11311117
4,2005,7688573
4,2006,7629371
4,2007,7572673
4,2008,7518002
4,2009,7467119
4,2010,7421766
4,2011,7369431
4,2012,7327224
4,2013,7284552
4,2014,7245677
4,2015,7202198
4,2016,7153784
5,2005,733067
5,2006,744013
5,2007,757916
5,2008,776333
5,2009,796930
5,2010,819140
5,2011,839751
5,2012,862011
5,2013,865878
5,2014,858000
5,2015,847008
5,2016,848319
6,2005,4310861
6,2006,4312487
6,2007,4313530
6,2008,4311967
6,2009,4309796
6,2010,4302847
6,2011,4289857
6,2012,4275984
6,2013,4262140
6,2014,4246809
6,2015,4225316
6,2016,4190669
7,2005,5411405
7,2006,5427459
7,2007,5447084
7,2008,5475791
7,2009,5511451
7,2010,5534738
7,2011,5560628
7,2012,5580516
7,2013,5602628
7,2014,5627235
7,2015,5659715
7,2016,5707251
8,2005,5372685
8,2006,5372928
8,2007,5373180
8,2008,5376064
8,2009,5382401
8,2010,5390410
8,2011,5392446
8,2012,5404322
8,2013,5410836
8,2014,5415949
8,2015,5421349
8,2016,5426252
9,2005,1997590
9,2006,2003358
9,2007,2010377
9,2008,2010269
9,2009,2032362
9,2010,2046976
9,2011,2050189
9,2012,2055496
9,2013,2058821
9,2014,2061085
9,2015,2062874
9,2016,2064188
10,2005,43296338
10,2006,44009971
10,2007,44784666
10,2008,45668939
10,2009,46239273
10,2010,46486619
10,2011,46667174
10,2012,46818219
10,2013,46727890
10,2014,46512199
10,2015,46449565
10,2016,46445828
11,2005,1358850
11,2006,1350700
11,2007,1342920
11,2008,1338440
11,2009,1335740
11,2010,1333290
11,2011,1329660
11,2012,1325217
11,2013,1320174
11,2014,1315819
11,2015,1314870
11,2016,1315944
12,2005,5236611
12,2006,5255580
12,2007,5276955
12,2008,5300484
12,2009,5326314
12,2010,5351427
12,2011,5375276
12,2012,5401267
12,2013,5426674
12,2014,5451270
12,2015,5471753
12,2016,5487308
13,2005,62772870
13,2006,63229635
13,2007,63645065
13,2008,64007193
13,2009,64350226
13,2010,64658856
13,2011,64978721
13,2012,65276983
13,2013,65600350
13,2014,65942093
13,2015,66488186
13,2016,66759950
14,2005,10969912
14,2006,11004716
14,2007,11036008
14,2008,11060937
14,2009,11094745
14,2010,11119289
14,2011,11123392
14,2012,11086406
14,2013,11003615
14,2014,10926807
14,2015,10858018
14,2016,10783748
15,2005,10097549
15,2006,10076581
15,2007,10066158
15,2008,10045401
15,2009,10030975
15,2010,10014324
15,2011,9985722
15,2012,9931925
15,2013,9908798
15,2014,9877365
15,2015,9855571
15,2016,9830485
16,2005,4111672
16,2006,4208156
16,2007,4340118
16,2008,4457765
16,2009,4521322
16,2010,4549428
16,2011,4570881
16,2012,4582707
16,2013,4591087
16,2014,4605501
16,2015,4628949
16,2016,4724720
17,2005,57874753
17,2006,58064214
17,2007,58223744
17,2008,58652875
17,2009,59000586
17,2010,59190143
17,2011,59364690
17,2012,59394207
17,2013,59685227
17,2014,60782668
17,2015,60795612
17,2016,60665551
18,2005,2249724
18,2006,2227874
18,2007,2208840
18,2008,2191810
18,2009,2162834
18,2010,2120504
18,2011,2074605
18,2012,2044813
18,2013,2023825
18,2014,2001468
18,2015,1986096
18,2016,1968957
19,2005,3355220
19,2006,3289835
19,2007,3249983
19,2008,3212605
19,2009,3183856
19,2010,3141976
19,2011,3052588
19,2012,3003641
19,2013,2971905
19,2014,2943472
19,2015,2921262
19,2016,2888558
20,2005,461230
20,2006,469086
20,2007,476187
20,2008,483799
20,2009,493500
20,2010,502066
20,2011,511840
20,2012,524853
20,2013,537039
20,2014,549680
20,2015,562958
20,2016,576249
21,2005,402668
21,2006,404999
21,2007,405616
21,2008,407832
21,2009,410926
21,2010,414027
21,2011,414989
21,2012,417546
21,2013,421364
21,2014,425384
21,2015,429344
21,2016,434403
22,2005,16305526
22,2006,16334210
22,2007,16357992
22,2008,16405399
22,2009,16485787
22,2010,16574989
22,2011,16655799
22,2012,16730348
22,2013,16779575
22,2014,16829289
22,2015,16900726
22,2016,16979120
23,2005,38173835
23,2006,38157055
23,2007,38125479
23,2008,38115641
23,2009,38135876
23,2010,38022869
23,2011,38062718
23,2012,38063792
23,2013,38062535
23,2014,38017856
23,2015,38005614
23,2016,37967209
24,2005,10494672
24,2006,10511988
24,2007,10532588
24,2008,10553339
24,2009,10563014
24,2010,10573479
24,2011,10572721
24,2012,10542398
24,2013,10487289
24,2014,10427301
24,2015,10374822
24,2016,10341330
25,2005,60182050
25,2006,60620361
25,2007,61073279
25,2008,61571647
25,2009,62042343
25,2010,62510197
25,2011,63022532
25,2012,63495303
25,2013,63905297
25,2014,64351155
25,2015,64875165
25,2016,65382556
26,2005,10198855
26,2006,10223577
26,2007,10254233
26,2008,10343422
26,2009,10425783
26,2010,10462088
26,2011,10486731
26,2012,10505445
26,2013,10516125
26,2014,10512419
26,2015,10538275
26,2016,10553843
27,2005,21382354
27,2006,21257016
27,2007,21130503
27,2008,20635460
27,2009,20440290
27,2010,20294683
27,2011,20199059
27,2012,20095996
27,2013,20020074
27,2014,19947311
27,2015,19870647
27,2016,19760314
28,2005,9011392
28,2006,9047752
28,2007,9113257
28,2008,9182927
28,2009,9256347
28,2010,9340682
28,2011,9415570
28,2012,9482855
28,2013,9555893
28,2014,9644864
28,2015,9747355
28,2016,9851017
